3000
3.e-4 3.e-4 5.4e-4
5.79583e-05 0.000113533 6.21716e-05 1.19745e-05
7.08112e-05 0.000119646 3.61693e-05 1.1126e-05
8.16134e-05 0.000124524 6.10158e-05 1.4135e-05
0.000101289 0.000119384 4.28091e-05 1.316e-05
0.00012844 0.000107684 4.57966e-05 1.3697e-05
0.000158848 0.000108959 4.41565e-05 1.22145e-05
0.00015201 0.000128357 5.88546e-05 1.3065e-05
0.000145964 0.000105142 6.35535e-05 1.138e-05
0.000186287 0.0001142 4.16865e-05 1.2379e-05
0.00017924 0.000130547 6.14198e-05 1.4197e-05
0.00021749 0.000105098 5.83763e-05 7.011e-06
0.000213976 0.0001228 3.78357e-05 1.68695e-05
0.000230382 0.000103715 4.87203e-05 9.1555e-06
0.000203455 0.000117857 6.6459e-05 1.3602e-05
0.000263924 0.000107736 3.69041e-05 1.10885e-05
0.000245387 0.000124337 4.85365e-05 1.63485e-05
0.000287177 0.000110586 4.56561e-05 1.38725e-05
0.000273914 0.000105443 6.64324e-05 1.13e-05
2.08944e-05 0.00016224 4.27586e-05 1.46015e-05
5.98286e-05 0.00014768 3.58037e-05 1.2071e-05
4.02441e-05 0.000147149 5.79299e-05 1.42485e-05
8.54838e-05 0.000141602 3.84512e-05 1.4427e-05
6.9092e-05 0.000150962 6.10333e-05 1.5005e-05
0.000123002 0.000134765 4.99193e-05 1.4133e-05
0.000105742 0.000162464 5.05665e-05 1.69985e-05
0.000102641 0.000138888 6.73482e-05 1.2106e-05
0.000138711 0.000156937 4.04674e-05 1.4637e-05
0.000158131 0.000158455 5.84797e-05 1.18935e-05
0.000165138 0.000142098 4.34747e-05 1.1383e-05
0.000192362 0.000154593 3.58572e-05 1.88205e-05
0.000181725 0.000156396 6.47129e-05 1.1979e-05
0.000201819 0.000157269 6.81855e-05 8.4315e-06
0.000207337 0.000141085 5.82704e-05 1.13305e-05
0.000214533 0.000165636 5.44598e-05 1.20635e-05
0.0002595 0.000152533 5.51055e-05 1.16185e-05
0.000256729 0.000164979 4.05215e-05 7.7535e-06
0.000273272 0.000133317 4.85108e-05 1.2926e-05
0.000268968 0.000140369 6.89225e-05 9.031e-06
0.000294106 0.000139715 3.60262e-05 1.144e-05
0.000294053 0.000157825 5.64616e-05 1.58575e-05
2.83073e-05 0.000193751 5.23238e-05 1.35915e-05
1.46705e-05 0.000177355 7.12531e-05 1.4924e-05
5.17607e-05 0.000174456 4.75559e-05 1.7151e-05
5.17094e-05 0.000199243 6.97263e-05 1.60845e-05
3.86036e-05 0.000168182 7.12896e-05 1.07015e-05
8.03637e-05 0.000180084 3.80213e-05 1.352e-05
9.37966e-05 0.000188203 5.88518e-05 1.2562e-05
7.52547e-05 0.000176124 6.02644e-05 9.612e-06
0.000131544 0.000167156 6.5123e-05 1.2996e-05
0.000127622 0.00018228 4.3977e-05 1.3248e-05
0.000118175 0.000197781 6.46522e-05 1.4265e-05
0.000111439 0.000199657 4.06865e-05 1.07e-05
0.000151386 0.000178151 4.83557e-05 1.12565e-05
0.000172352 0.000171153 4.78691e-05 9.7765e-06
0.000197519 0.000179793 4.99732e-05 1.052e-05
0.000169191 0.000191332 5.20486e-05 1.10725e-05
0.000168788 0.000174509 7.12404e-05 1.1218e-05
0.000221658 0.000190004 4.23295e-05 1.4049e-05
0.000263214 0.00018321 3.58146e-05 1.14775e-05
0.000238286 0.000170567 4.98462e-05 1.26115e-05
0.00025338 0.000189188 5.77355e-05 1.2624e-05
0.000297956 0.00019775 5.5333e-05 1.2283e-05
0.00028538 0.000180064 4.23827e-05 1.1855e-05
0.000275231 0.00019987 3.98702e-05 9.461e-06
1.58408e-05 0.000212511 4.06226e-05 1.17905e-05
1.10825e-05 0.000214745 6.02078e-05 8.461e-06
5.00734e-05 0.000203344 3.63836e-05 1.3868e-05
5.43495e-05 0.000229222 4.21339e-05 1.2984e-05
3.45818e-05 0.000219181 5.38049e-05 1.2072e-05
5.16379e-05 0.000232937 6.97831e-05 1.5045e-05
9.37806e-05 0.000226968 4.51822e-05 8.71e-06
7.41482e-05 0.000203705 5.04085e-05 1.38515e-05
9.86956e-05 0.000210236 5.39291e-05 1.05055e-05
0.000111351 0.000221151 3.87608e-05 1.08805e-05
0.00013313 0.000206744 4.62998e-05 1.06545e-05
0.000120317 0.0002256 6.86294e-05 1.3919e-05
0.00015988 0.000220778 5.05302e-05 1.9848e-05
0.000191249 0.000230801 3.99294e-05 1.47475e-05
0.000187076 0.000222296 6.81609e-05 1.2599e-05
0.000176802 0.000203427 6.61401e-05 8.9805e-06
0.000208488 0.000218651 5.63831e-05 1.20025e-05
0.000226527 0.000202488 6.78929e-05 1.48135e-05
0.000238227 0.000223625 5.50511e-05 1.2547e-05
0.00025039 0.000209309 6.75263e-05 9.9515e-06
0.000267001 0.000226582 5.65259e-05 1.64165e-05
0.000294631 0.00022163 4.87907e-05 1.26995e-05
0.00028886 0.000221861 7.09066e-05 1.0139e-05
1.70796e-05 0.000240958 4.53455e-05 1.70725e-05
4.36081e-05 0.000251854 3.93993e-05 1.2216e-05
6.10206e-05 0.000258245 5.43458e-05 1.1605e-05
3.539e-05 0.00025723 5.91594e-05 9.849e-06
7.64853e-05 0.000238104 5.42949e-05 1.37885e-05
0.000131709 0.000233995 3.6177e-05 1.33285e-05
0.000104887 0.00024929 5.65757e-05 1.6815e-05
0.000143643 0.000257684 4.01962e-05 1.18165e-05
0.000138655 0.000243319 6.07865e-05 1.27575e-05
0.00016592 0.000251862 5.90403e-05 1.29405e-05
0.000195742 0.000246071 6.29469e-05 1.32375e-05
0.000220439 0.000242351 5.39685e-05 1.3303e-05
0.000208625 0.000264745 4.97209e-05 1.23695e-05
0.000218359 0.000259885 6.95379e-05 1.02375e-05
0.000233684 0.000262244 3.67356e-05 1.59525e-05
0.000253426 0.000240182 3.72286e-05 1.00935e-05
0.000239812 0.000256098 6.36585e-05 1.2327e-05
0.000272265 0.000247861 4.22533e-05 9.741e-06
0.000289877 0.000244898 5.84823e-05 1.292e-05
1.41277e-05 0.000266887 6.15295e-05 1.36235e-05
2.58906e-05 0.000267281 3.95856e-05 1.12775e-05
2.93112e-05 0.000284438 5.08714e-05 9.542e-06
6.59666e-06 0.000282346 3.91887e-05 1.31745e-05
1.22351e-05 0.000293747 6.29254e-05 1.3339e-05
3.88774e-05 0.000295569 6.21768e-05 8.984e-06
